place,latitude,longitude
110th Street--Cathedral Parkway Subway Station (IRT),40.80382876,-73.96667438
116th Street--Columbia University Subway Station (IRT),40.80776956,-73.96412354
145th Street Subway Station (IRT),40.8202192,-73.93641944
14th Street-Union Square Subway Station (IRT; Dual System BMT),40.73530849,-73.99082897
15th Street--Prospect Park Subway Station (IND),40.66008251,-73.98001578
168th Street Subway Station (IRT),40.84061313,-73.94024503
181st Street Subway Station (IND),40.85167422,-73.93817062
181st Street Subway Station (IRT),40.849382,-73.93381786
190th Street Subway Station (IND),40.85875686,-73.93449808
207th Street Yard--Signal Service Building and Tower B,40.86819718,-73.91322441
242nd Street--Van Cortlandt Park Station (IRT),40.88886665,-73.89852336
28th Street Subway Station (IRT),40.74317773,-73.98419568
33rd Street Subway Station (IRT),40.7462,-73.9821
369th Regiment Armory,40.81785584,-73.93426514
45th Road--Court House Square Station (Dual System IRT),40.74625525,-73.94565325
48th Police Precinct Station,40.84738159,-73.89691162
4th Avenue Station (IND),40.67007693,-73.98968348
52nd Police Precinct Station House and Stable,40.8694191,-73.8799057
59th Street--Columbus Circle Subway Station (IRT),40.76793294,-73.98215997
68th Avenue-64th Place Historic District,40.70559509,-73.89409115
68th Police Precinct Station House and Stable,40.65024553,-74.00902546
69th Regiment Armory,40.74107361,-73.98361969
69th Street Transfer Bridge,40.77888679,-73.99032375
72nd Street Subway Station (IRT),40.77838231,-73.98211898
75 Murray Street Building,40.71457672,-74.01051331
75th Avenue-61st Street Historic District,40.69866228,-73.89447805
79th Street Subway Station (IRT),40.78367979,-73.98014187
83rd Precinct Police Station and Stable,40.6996,-73.9235
86th Street Subway Station (Dual System IRT),40.77940826,-73.95579478
9th Avenue Station (Dual System BRT),40.64624659,-73.99453727
Actors Temple,40.76089478,-73.98859405
Adam-Derby House,40.86755753,-73.53391266
ADMIRAL DEWEY (tugboat),40.70519699,-74.00267137
Admiral&apos;s House,40.69019196,-74.01352287
African Burying Ground,40.71360391,-73.99356011
African Cemetery,40.97601392,-73.70309994
Albemarle-Kenmore Terraces Historic District,40.65070503,-73.9588684
"Aldred, John E., Estate",40.89433617,-73.61612708
All Saints Episcopal Church,41.1445737,-73.84312289
All Saints Episcopal Church,41.14760884,-73.84666838
Allen-Beville House,40.772684,-73.7505495
Alwyn Court Apartments,40.76589584,-73.97882843
AMBROSE (lightship),40.70477836,-74.00218045
American Bank Note Company Building,40.70423508,-74.01158142
American Fine Arts Society,40.76590729,-73.98090362
American Museum of Natural History,40.77947617,-73.97356415
American Radiator Building,40.76304245,-73.98397827
